PLAYER,WEAPONS,O_LINE,INDOOR_GAMES,SCHEDULE,RETURN_FROM_INJURY
Kyler Murray,-1,1,0.37,0.9,0
Desmond Ridder,0,-1,0.64,-0.43,0
Lamar Jackson,-1,1,0.55,-0.12,0
Josh Allen,0,0,0.57,-0.21,0
Bryce Young,0,0,0.38,0.6,0
Justin Fields,0,0,0.43,0.57,0
Joe Burrow,0,-1,0.45,-0.8,0
Deshaun Watson,1,1,0.48,-0.18,0
Dak Prescott,0,0,0.58,-0.96,0
Russell Wilson,-1,0,0.42,-0.54,0
Jared Goff,0,-1,0.6,0.23,0
Jordan Love,0,0,0.52,0.74,0
C.J. Stroud,0,0,0.44,0.7,0
Anthony Richardson,-1,-1,0.52,0.77,0
Trevor Lawrence,-1,1,0.42,-0.77,0
Patrick Mahomes,0,0,0.63,-0.57,0
Jimmy Garoppolo,0,0,0.63,0.68,0
Justin Herbert,0,-1,0.35,-0.1,0
Matthew Stafford,0,0,0.64,0.4,0
Tua Tagovailoa,1,0,0.46,0.93,0
Kirk Cousins,0,0,0.59,0.82,0
Mac Jones,0,1,0.65,-0.34,0
Derek Carr,1,-1,0.36,-0.53,0
Daniel Jones,0,1,0.4,0.79,0
Aaron Rodgers,0,1,0.47,0.48,0
Jalen Hurts,0,1,0.49,-0.01,0
Kenny Pickett,-1,-1,0.58,-0.64,0
Brock Purdy,-1,0,0.44,-0.13,0
Geno Smith,0,1,0.64,0.47,0
Baker Mayfield,0,0,0.47,0.62,0
Ryan Tannehill,-1,0,0.46,0.33,1
Sam Howell,0,1,0.58,-0.38,0
