PLAYER,HEAD_COACH,OC,SCHEME_FIT,OFF_FIELD
Kyler Murray,0,1,1,-0.93
Desmond Ridder,1,0,-1,0.84
Lamar Jackson,0,0,0,-0.14
Josh Allen,0,1,-1,-0.96
Bryce Young,0,1,0,-0.56
Justin Fields,0,0,0,-0.09
Joe Burrow,0,0,1,-0.56
Deshaun Watson,1,0,-1,-0.02
Dak Prescott,0,0,0,-0.58
Russell Wilson,0,0,0,0.86
Jared Goff,0,1,-1,0.39
Jordan Love,0,1,0,-0.07
C.J. Stroud,0,0,1,-0.62
Anthony Richardson,0,0,-1,-0.42
Trevor Lawrence,0,0,1,0.29
Patrick Mahomes,0,0,1,-0.38
Jimmy Garoppolo,1,0,-1,-0.43
Justin Herbert,0,0,-1,0.18
Matthew Stafford,0,0,0,-0.1
Tua Tagovailoa,0,0,-1,-0.34
Kirk Cousins,0,0,0,-0.53
Mac Jones,0,0,-1,-0.45
Derek Carr,0,0,0,-0.77
Daniel Jones,0,1,-1,-0.61
Aaron Rodgers,0,0,-1,0.38
Jalen Hurts,0,0,0,-0.71
Kenny Pickett,0,0,0,-0.96
Brock Purdy,0,0,-1,-0.74
Geno Smith,0,0,1,0.11
Baker Mayfield,0,1,0,-0.3
Ryan Tannehill,0,0,-1,-0.36
Sam Howell,0,0,-1,-0.15
